PID,Social Media Post,Normalized Claim
114,"There is a Supreme Court order for those who take care of stray dogs. In the cases of stray dogs roaming on the road and biting people, the Supreme Court said, Only those who feed stray dogs should get them vaccinated, and also bear the cost of treatment if someone bites them",Supreme Court made an order on animal feeders liable for stray dog bites
115,"These days nothing better for Imran Khan to take break from noisy politics and spend time with his lovely sons, they in Lahore to give a long over due hug to their Dad. I wish that remarkable character Khan's Ex-Wife 
 @Jemima_Khan
  had came along Qasim Sulaiman to Lahore","These days nothing better for Imran Khan to take break from noisy politics and spend time with his lovely sons, they in Lahore to give a long over due hug to their Dad. I wish that remarkable character Khan’s Ex-Wife @Jemima_Khan had came along Qasim Sulaiman to Lahore"
116,"ANTI-POISON.
There are many snakes with a very poisonous venom that kills within some hours
If your a victim of snakes bites or poison, just look for a cashew tree, use your cutlass to get the bark of the cashew tree, and chew the bark of the tree
As you chew, swallow the water, don't swallow the chaff. It will neutralize every poisonous substance from the snake even if it's an Anaconda bite.
Very effective and powerful to destroy snake venoms.
You can keep the bark for any emergency, even if it's a dry one, just soak it in water. it doesn't spoil, it can be kept for years
God has blessed us with so many herbs but many don't know it.",Eating cashew nut tree bark neutralize snake venom
117,Turn it off people. They are taking control of your exactly [sic] location,The emergency alert allows the government to take control of your exact location.
118,"This wouldn't be possible if not for the strong support given the state by 
 @flyairpeace
  and 
 @OverlandAirways
  who fly daily to and from Lagos and Abuja respectively. We continue to appreciate your support in our drive to #DevelopOndo",Airpeace and Overland fly daily into Akure Airport to and from Lagos and Abuja respectively.
119,"Forwarded as received: The Government is proposing a Bill by which if the bank is having financial difficulties then they can ask depositors to take a hit. *The Finance Ministry have got a Bill APPROVED by the Cabinet* called The Financial Resolution and Deposit Insurance (FRDI) Bill, 2017",Preparation to table FRDI Bill in Parliament
120,Deadly Amboli ghat & falls,Deadly Amboli ghat & falls
121,"Kentucky Fried Chicken lost its case after years of trying to claim it was 100% chicken.
The company was found guilty of only 15% of it being chicken and the remaining 85% not good for human consumption only for dogs.
The Islamic Judicial Council withdrew its guarantee certificate as it was also found that the spice",US court said KFC is unfit for humans
122,"Report: Dominion deleted 2.7 million Trump votes nationwide. Data analysis finds 221,000 Pennsylvania votes switched from President Trump to Biden. 941,000 Trump votes deleted. States using Dominion Voting Systems switched 435,000 votes from Trump to Biden,","Dominion Voting Systems deleted votes for Donald Trump, switched votes to Joe Biden"
123,"I have a buddy in France, and they just had an election there. Polls closed a few hours ago and they already know who the winners are. Must be nice to live in a first world country.","In France ""polls closed a few hours ago and they already know who the winners are."""
124,"Shahrukh Khan is supporting Owaisi, Hindus must come together",Shahrukh Khan wore Owasi’s party’s T shirt
125,"The economy, under this Conservative government, has grown by 73%","In January 2020, the economy had grown by 73% under the Conservative government."
126," If our government falls, I will set the nation on fire - yogi adityanath",Yogi Adityanath threatens to set the nation on fire if his govt is voted out
127,Marvel at the huge ancient skeletons found,Marvel at the huge ancient skeletons found
128,"Black ""worms"" in masks and covid swabs,
I think they are nanoparticals or nanobots but be interesting to find out what they are and do experiments on them like using magnets or something",Fibres from face masks and test swabs are evidence of parasites.
129,"Dr Judy Mikovits.
 May the world start listening to these brave and courageous Doctors.","The spike proteins generated by the body in response to the Covid-19 vaccines make people a ticking time bomb for cancer, blood clots and other ailments."
130,Study of 145 countries finds sharp rise in virus transmission and death AFTER introduction of Covid vaccines,Data from 145 countries shows that deployment of Covid-19 vaccines causes an increase in Covid-19 cases and deaths.
131,Just digest this for a moment - a minority of only 16% have achieved all this in only a few years-PLANNED FROM THE START! You do the projections.......................,"There are four million Muslims out of the 66 million in the population, which amounts to 16% of the population."
132,"IMPORTANT ANNOUNCEMENT - CORONAVIRUS
From someone who's graduated with a master's degree and who worked in Shenzhen Hospital (Guangdong Province, China) the following notes on Coronavirus for guidance:
1. If you have a runny nose and sputum, you have a common cold
2. Coronavirus pneumonia is a dry cough with no runny nose.
3. This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.
4. If someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne.
5. If it drops on a metal surface it will live for at least 12 hours - so if you come into contact with any metal surface - wash your hands as soon as you can with a bacterial soap.
6. On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.
7. Drinking warm water is effective for all viruses. Try not to drink liquids with ice.
8. Wash your hands frequently as the virus can only live on your hands for 5-10 minutes, but - a lot can happen during that time - you can rub your eyes, pick your nose unwittingly and so on.
9. You should also gargle as a prevention. A simple solution of salt in warm water will suffice.
10. Can't emphasise enough - drink plenty of water!
THE SYMPTOMS
1. It will first infect the throat, so you'll have a sore throat lasting 3/4 days
2. The virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. This takes about 5/6 days further.
3. With the pneumonia comes high fever and difficulty in breathing.
4. The nasal congestion is not like the normal kind. You feel like you're drowning. It's imperative you then seek immediate attention.
SPREAD THE WORD - PLEASE SHARE.",The new virus is not heat-resistant and will be killed by a temperature of 26/27 degrees. It hates the Sun.
133,"First the health secretary says don't go to hospitals or clinics, now the tourism secretary says don't recreate. What next, the education governor saying no school this fall?","Says the state “health secretary says don't go to hospitals or clinics, now the tourism secretary says don't recreate.”"
134,"Look at the French they are going on General Strike because retirement is going to 64.
 
 Their Energy bills are 40% of ours
 They retire 6 years earlier
 Their pension is 3x higher
 Their wages are 25% higher
 
 Yet still they will strike. Why are they better off?
 
 Because they strike",French workers retire 6 years earlier.
